kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	30.04.2016	Právo	Děti do politiky nepatří	06	Publicistika	Alexandr Mitrofanov	2224
capihnizdo	30.04.2016	Lidové noviny	Klokan, čáp a madona s dítětem	09	Komentáře	PETR KAMBERSKÝ	2905
capihnizdo	30.04.2016	Mladá fronta DNES	Sny patologovy, mytí hlav ptáků a zelený Topol	13	Názory	Miroslav Korecký	2469
capihnizdo	29.04.2016	Mladá fronta DNES	Zeman v Čapím hnízdě Demonstrace podpory Babišovi	01	Titulní strana		469
capihnizdo	29.04.2016	Mladá fronta DNES	Čapí hnízdo, klokani a zabijačka. Babiš hostil Zemana	02	Z domova	Ondřej Leinert	4374
capihnizdo	29.04.2016	Mladá fronta DNES	Čapí hnízdo, klokani a zabijačka. Babiš hostil Zemana	02	Z domova	Ondřej Leinert	4355
capihnizdo	29.04.2016	Hospodářské noviny	ZEMAN PŘIJEL DO BABIŠOVA HNÍZDA	01	Titulní strana		542
capihnizdo	29.04.2016	Hospodářské noviny	MILENCI MOCI V ČAPÍM HNÍZDĚ	10	Názory	Petr Fischer	4430
capihnizdo	29.04.2016	Lidové noviny	Farma Čapí hnízdo: Zeman, děti, klokani	05	Domov	TOMÁŠ TOMÁNEK	4420
capihnizdo	29.04.2016	Mladá fronta DNES	Zeman a Babiš: komu tandem prospěje více?	11	Názory	Miroslav Korecký	2607
capihnizdo	29.04.2016	Právo	FOTO	01	Titulní strana		294
capihnizdo	29.04.2016	Právo	Zeman si užíval v Babišově hnízdě. Opozice si na nich smlsla	03	Zpravodajství	Barbora Zpěváčková	3456
capihnizdo	29.04.2016	Hospodářské noviny	Babiš hostil Zemana, nakrmil i opuštěné děti	03	Události	Radek Bartoníček	3875
capihnizdo	29.04.2016	Právo	Pobratimci	06	Publicistika	Josef Koukal	2174
capihnizdo	28.04.2016	Hospodářské noviny	Zeman podpoří Babiše na Čapím hnízdě. Účelové spojenectví, jehož se ostatní bojí	03	Události	Lucie Stuchlíková, Václav Dolejší	4235
capihnizdo	26.04.2016	Právo	Babiš a Dienstbier se poštěkali kvůli zákonu	04	Zpravodajství	(rsk, ČTK)	1992
capihnizdo	23.04.2016	Právo	Narazila kosa na kámen?	06	Publicistika	Lukáš Jelínek	2459
capihnizdo	21.04.2016	Lidové noviny	Zlaté Čapí hnízdo	01	Titulní strana		159
